4724,,,,,,,,,,,,,,,,385,424,578,568,,NATIONAL AVERAGE:,,"$8,259",382,140,29,3,2,91,33,18,72,121,7,8,13,8,1,36,6,12,20,1,50,10,
Name,Charter #,Peer Group,Metropolitan Statistical Area,City,Country,State / Prov,Region,$ Total Assets,Asset Class,# Members,$ Total Share Deposits,# Share Deposit Accounts,$ Total Loans,# Loan Accounts,% Loans to Shares,CDCU?,CDFI?,CDCU / CDFI,HPCU,$ Average Assets per Member,# Average Accounts per Member,$ Net Earnings per Member,$ Average Balance per Account,Target,Fall 2025    Target,Reached out to?,Sponsor,On Advisory Board,Invests in Curql?,Invests Directly in Startups?,Works with Early Startups?,MDC Owner?,Juntos Avanzamos?,Fintech Accel?,Purchasing Banks?,Merging?,CUs Unite?,Interim CEO?,New CEO?,Tech Forward?,Tech Curious?,We Have Connections?,Showed Coalition Interest?,Active Coalition Member Nearby?,Talked to Us Before?,Notes?
My,68545,4,Haslet,,USA,TX,South Central,"$55,376,842",Very Small,"5,829","$50,230,588","10,166","$28,863,897","2,309",57.5%,,,,,"$9,500",2.14,$9.34,"$6,340",,,,,,,,,,,,,,,,,,,,,,,
Van Cortlandt Cooperative,1125,4,Bronx,,USA,NY,Mid-Atlantic,"$55,248,464",Very Small,"2,244","$49,292,233","3,028","$13,707,762",524,27.8%,,,,,"$24,621",1.58,$31.47,"$17,736",,,,,,,,,,,,,,,,,,,,,,,
Hi-land,61453,4,Salt Lake City,,USA,UT,Western,"$55,150,570",Very Small,"2,770","$43,064,397","4,517","$39,348,084",881,91.4%,,,,,"$19,910",1.95,-$32.09,"$15,267",,,,,,,,,,,,,,,,,,,,,,,
Lancaster Red Rose,60113,4,Leola,,USA,PA,Mid-Atlantic,"$54,963,443",Very Small,"5,079","$49,051,687","7,713","$15,190,213","2,327",31.0%,,,,,"$10,822",1.98,$53.51,"$6,399",,,,,,,,,,,,,,,,,,,,,,,
Alco,8975,4,Wellsville,,USA,NY,Mid-Atlantic,"$54,932,940",Very Small,"6,557","$48,082,817","12,032","$30,791,008","3,551",64.0%,,,,,"$8,378",2.38,$22.35,"$5,062",,,,,,,,,,,,,,,,,,,,,,,
Inland Valley,5684,4,Fontana,,USA,CA,Western,"$54,929,363",Very Small,"3,528","$50,363,847","8,580","$16,905,000","1,301",33.6%,,,,,"$15,570",2.80,$4.32,"$6,808",,,,,,,,,,,,,,,,,,,,,,,
Fieldstone,60325,4,Bradley,,USA,IL,Midwest,"$54,892,199",Very Small,"4,852","$47,574,926","8,724","$30,053,022","83,450",63.2%,,,,,"$11,313",19.00,-$0.37,$842,,,,,,,,,,,,,,,,,,,,,,,
Simplot,63405,4,Pocatello,,USA,ID,Cascadia,"$54,888,252",Very Small,"5,677","$43,304,997","8,424","$40,390,702","5,031",93.3%,,,,,"$9,669",2.37,$33.48,"$6,220",,,,,,,,,,,,,,,,,,,,,,,
Hurricane Creek,11786,4,Benton,,USA,AR,South Central,"$54,807,749",Very Small,"4,753","$48,452,555","7,796","$39,930,262","2,362",82.4%,,,,,"$11,531",2.14,$16.41,"$8,701",,,,,,,,,,,,,,,,,,,,,,,
Acme Continental,61230,4,Riverdale,,USA,IL,Midwest,"$54,782,906",Very Small,"5,526","$43,285,638","7,785","$19,044,172","3,227",44.0%,,,,,"$9,914",1.99,$7.15,"$5,660",,,,,,,,,,,,,,,,,,,,,,,
L. A. Electrical Workers Credit Un.,60755,4,Pasadena,,USA,CA,Western,"$54,746,172",Very Small,"9,236","$43,812,917","22,387","$12,842,961","1,109",29.3%,,,,,"$5,927",2.54,-$5.31,"$2,411",,,,,,,,,,,,,,,,,,,,,,,
Oswego Teachers Employees,14436,4,Oswego,,USA,NY,Mid-Atlantic,"$54,724,218",Very Small,"2,423","$47,753,681","4,591","$35,203,667","2,021",73.7%,,,,Y,"$22,585",2.73,$34.58,"$12,546",,,,,,,,,,,,,,,,,,,,,,,
Kansas Blue Cross-blue Shield,60295,4,Topeka,,USA,KS,South Central,"$54,687,958",Very Small,"3,571","$45,544,304","6,432","$29,076,416","1,866",63.8%,,,,,"$15,314",2.32,$28.05,"$8,993",,,,,,,,,,,,,,,,,,,,,,,
Forge,9622,4,Upper Darby,,USA,PA,Mid-Atlantic,"$54,653,203",Very Small,"4,223","$43,798,976","6,233","$25,105,775","2,301",57.3%,,,,,"$12,942",2.02,$36.66,"$8,074",,,,,,,,,,,,,,,,,,,,,,,
Silverado,68491,4,Angwin,,USA,CA,Western,"$54,637,180",Very Small,"3,184","$49,364,043","5,196","$36,420,028",920,73.8%,,,,,"$17,160",1.92,$35.21,"$14,026",,,,,,,,,,,,,,,,,,,,,,,
Kansas City,63388,4,Kansas City,,USA,MO,South Central,"$54,612,546",Very Small,"5,647","$44,160,580","10,502","$45,821,250","1,728",103.8%,,,,,"$9,671",2.17,-$115.51,"$7,357",,,,,,,,,,,,,,,,,,,,,,,
Pittsburgh City Hall Employees,1239,4,Pittsburgh,,USA,PA,Mid-Atlantic,"$54,514,328",Very Small,"2,676","$44,363,008","3,251","$23,045,898","2,001",51.9%,,,,,"$20,372",1.96,-$34.47,"$12,835",,,,,,,,,,,,,,,,,,,,,,,
Sycamore,5241,4,Sycamore,,USA,AL,Southeast,"$54,471,517",Very Small,"2,748","$44,483,049","4,279","$41,759,658","1,800",93.9%,,,,,"$19,822",2.21,$84.91,"$14,187",,,,,,,,,,,,,,,,,,,,,,,
Members Preferred,82547,4,Idaho Falls,,USA,ID,Cascadia,"$54,409,053",Very Small,"4,406","$44,492,500","7,363","$37,910,330","3,600",85.2%,,,,,"$12,349",2.49,$73.63,"$7,516",,,,,,,,,,,,,,,,,,,,,,,
Educational And Governmental,2346,4,Hartsdale,,USA,NY,Mid-Atlantic,"$54,396,751",Very Small,"5,786","$49,367,370","10,129","$13,780,262","1,483",27.9%,,,,,"$9,401",2.01,-$14.63,"$5,438",,,,,,,,,,,,,,,,,,,,,,,
Qside,3947,4,Queens Village,,USA,NY,Mid-Atlantic,"$54,345,382",Very Small,"6,943","$47,120,405","10,597","$29,540,676","2,555",62.7%,,,,,"$7,827",1.89,$12.65,"$5,829",,,,,,,,,,,,,,,,,,,,,,,
Central Keystone,9213,4,Sunbury,,USA,PA,Mid-Atlantic,"$54,292,699",Very Small,"2,863","$43,777,031","5,940","$26,000,463","1,417",59.4%,,,,Y,"$18,964",2.57,$37.55,"$9,485",,,,,,,,,,,,,,,,,,,,,,,
Oahu,24830,4,Honolulu,,USA,HI,Western,"$54,252,625",Very Small,"3,325","$44,859,645","5,616","$19,704,354","1,131",43.9%,,,,,"$16,317",2.03,$22.12,"$9,569",,,,,,,,,,,,,,,,,,,,,,,
Rt,12624,4,Rome,,USA,NY,Mid-Atlantic,"$54,226,415",Very Small,"3,023","$46,948,821","5,371","$22,276,544","1,411",47.4%,,,,,"$17,938",2.24,$26.53,"$10,207",,,,,,,,,,,,,,,,,,,,,,,
Morehead Community,23070,4,Morehead,,USA,KY,Southeast,"$54,216,937",Very Small,"4,234","$47,497,864","8,671","$23,663,518","1,654",49.8%,,,,,"$12,805",2.44,$40.84,"$6,892",,,,,,,,,,,,,,,,,,,,,,,
Mountain Valley,15516,4,Peru,,USA,NY,Mid-Atlantic,"$54,189,263",Very Small,"4,652","$40,938,248","7,768","$39,498,335","1,940",96.5%,,,,,"$11,649",2.09,$23.69,"$8,286",,,,,,,,,,,,,,,,,,,,,,,
Tlcu Financial,68286,4,Mishawaka,,USA,IN,Midwest,"$54,081,177",Very Small,"3,976","$45,513,915","8,274","$19,668,376","2,045",43.2%,,,,,"$13,602",2.60,$38.86,"$6,317",,,,,,,,,,,,,,,,,,,,,,,
Carolina Cooperative,24801,4,Charlotte,,USA,NC,Southeast,"$54,060,697",Very Small,"10,251","$46,780,058","18,203","$39,145,700","3,462",83.7%,,,,,"$5,274",2.11,-$4.67,"$3,966",,,,,,,,,,,,,,,,,,,,,,,
Veritas,21354,4,Smyrna,,USA,TN,Southeast,"$53,852,103",Very Small,"5,110","$44,753,071","8,531","$40,916,345","6,390",91.4%,,,,,"$10,539",2.92,$2.31,"$5,742",,,,,,,,,,,,,,,,,,,,,,,
Pennstar,13760,4,Hermitage,,USA,PA,Mid-Atlantic,"$53,786,129",Very Small,"4,095","$45,339,497","7,480","$20,222,921","1,375",44.6%,,,,,"$13,135",2.16,$11.00,"$7,404",,,,,,,,,,,,,,,,,,,,,,,
Financial Partners FCU (IN),16619,4,Woodburn,,USA,IN,Midwest,"$53,722,225",Very Small,"3,506","$48,977,675","7,057","$24,329,346","5,242",49.7%,,,,,"$15,323",3.51,$13.23,"$5,960",,,,,,,,,,,,,,,,,,,,,,,
Lubrizol Employees',60378,4,Deer Park,,USA,TX,South Central,"$53,717,912",Very Small,"3,548","$44,929,998","6,051","$25,370,852","1,820",56.5%,,,,,"$15,140",2.22,$34.37,"$8,932",,,,,,,,,,,,,,,,,,,,,,,
Modesto's First,4022,4,Modesto,,USA,CA,Western,"$53,635,258",Very Small,"3,036","$47,647,018","5,029","$40,421,277","1,893",84.8%,,,,,"$17,666",2.28,$17.92,"$12,723",,,,,,,,,,,,,,,,,,,,,,,
Healthshare,66317,4,Greensboro,,USA,NC,Southeast,"$53,592,153",Very Small,"5,816","$40,806,295","11,232","$40,610,999","2,672",99.5%,Y,,Y,,"$9,215",2.39,$13.36,"$5,856",,,,,,,,,,,,,,,,,,,,,,,
Whiting Refinery,198,4,Whiting,,USA,IN,Midwest,"$53,577,265",Very Small,"2,031","$39,870,657","2,888","$20,619,817",622,51.7%,,,,,"$26,380",1.73,-$22.29,"$17,234",,,,,,,,,,,,,,,,,,,,,,,
Buffalo Conrail,845,4,Cheektowaga,,USA,NY,Mid-Atlantic,"$53,376,099",Very Small,"2,536","$41,706,373","3,880","$42,139,665","1,413",101.0%,,,,,"$21,047",2.09,$68.97,"$15,841",,,,,,,,,,,,,,,,,,,,,,,
Sacred Heart Parish Hallettsville,3946,4,Hallettsville,,USA,TX,South Central,"$53,264,371",Very Small,"2,758","$47,516,284","4,088","$28,991,768","1,657",61.0%,,,,,"$19,313",2.08,$54.54,"$13,317",,,,,,,,,,,,,,,,,,,,,,,
Maroon Financial,62497,4,Chicago,,USA,IL,Midwest,"$53,233,455",Very Small,"7,066","$47,521,137","10,648","$32,701,463","2,036",68.8%,Y,Y,Y,,"$7,534",1.80,-$17.62,"$6,325",,,,,,,,,,,,,,,,,,,,,,,
Toledo Police,3720,4,Toledo,,USA,OH,Midwest,"$53,176,617",Very Small,"3,228","$47,694,524","6,118","$21,047,324","1,897",44.1%,,,,,"$16,474",2.48,-$15.11,"$8,577",,,,,,,,,,,,,,,,,,,,,,,
Newport News Mun. Emp Credit Union,66970,4,Newport News,,USA,VA,Mid-Atlantic,"$53,033,370",Very Small,"4,818","$50,365,716","7,990","$26,490,368","8,967",52.6%,,,,,"$11,007",3.52,$39.26,"$4,532",,,,,,,,,,,,,,,,,,,,,,,
Falls Catholic,96707,4,Cuyahoga Falls,,USA,OH,Midwest,"$53,009,646",Very Small,"4,731","$43,330,690","7,945","$31,678,700","2,756",73.1%,,,,,"$11,205",2.26,$37.41,"$7,010",,,,,,,,,,,,,,,,,,,,,,,
Olympia CU,68331,4,Olympia,,USA,WA,Cascadia,"$52,988,086",Very Small,"3,800","$48,456,802","8,338","$39,694,664","6,052",81.9%,,,,,"$13,944",3.79,$1.77,"$6,126",,,,,,,,,,,,,,,,,,,,,,,
Umatilla County,23986,4,Pendleton,,USA,OR,Cascadia,"$52,978,624",Very Small,"2,401","$44,905,899","2,867","$30,330,689","1,231",67.5%,,,,,"$22,065",1.71,$15.38,"$18,359",,,,,,,,,,,,,,,,,,,,,,,
Metco,60013,4,Cedar Rapids,,USA,IA,Midwest,"$52,898,704",Very Small,"3,232","$44,531,995","8,289","$32,081,687","1,363",72.0%,,,,,"$16,367",2.99,$120.29,"$7,938",,,,,,,,,,,,,,,,,,,,,,,
Breco,24526,4,Baton Rouge,,USA,LA,Southeast,"$52,749,624",Very Small,"5,240","$38,906,186","6,051","$35,925,860","2,121",92.3%,Y,,Y,,"$10,067",1.56,-$20.11,"$9,157",,,,,,,,,,,,,,,,,,,,,,,
Law Enforcement & Technology,971,4,Miami,,USA,FL,Southeast,"$52,738,954",Very Small,"4,492","$43,238,101","9,023","$25,785,994","1,955",59.6%,,,,,"$11,741",2.44,$14.05,"$6,287",,,,,,,,,,,,,,,,,,,,,,,
Kue,22478,4,Lexington,,USA,KY,Southeast,"$52,663,599",Very Small,"2,929","$45,462,937","5,628","$17,691,318","2,476",38.9%,,,,,"$17,980",2.77,$29.52,"$7,793",,,,,,,,,,,,,,,,,,,,,,,
Fraternal Order Of Police,24901,4,Tulsa,,USA,OK,South Central,"$52,565,451",Very Small,"3,421","$46,176,602","5,356","$28,630,472","2,108",62.0%,,,,,"$15,366",2.18,$35.74,"$10,022",,,,,,,,,,,,,,,,,,,,,,,
Badger-globe,66750,4,Neenah,,USA,WI,Midwest,"$52,561,789",Very Small,"2,616","$45,039,274","6,106","$33,047,129","1,791",73.4%,,,,Y,"$20,092",3.02,$2.25,"$9,888",,,,,,,,,,,,,,,,,,,,,,,
North Memorial,16248,4,Robbinsdale,,USA,MN,Midwest,"$52,477,182",Very Small,"4,494","$47,068,594","8,112","$33,954,694","2,425",72.1%,,,,,"$11,677",2.34,$23.20,"$7,689",,,,,,,,,,,,,,,,,,,,,,,
Afl Cio Employees,7992,4,Washington,,USA,DC,Mid-Atlantic,"$52,461,863",Very Small,"5,192","$44,554,852","7,052","$40,321,268","1,397",90.5%,,,,,"$10,104",1.63,$8.71,"$10,046",,,,,,,,,,,,,,,,,,,,,,,
Truservice Community,24390,4,Little Rock,,USA,AR,South Central,"$52,457,246",Very Small,"5,135","$48,435,965","8,346","$40,031,676","2,399",82.6%,Y,Y,Y,,"$10,216",2.09,$0.21,"$8,233",,,,,,,,,,,,,,,,,,,,,,,
San Juan Mountains,60110,4,Montrose,,USA,CO,Western,"$52,363,319",Very Small,"3,475","$46,861,104","8,371","$35,022,036","1,170",74.7%,,,,Y,"$15,069",2.75,$28.11,"$8,582",,,,,,,,,,,,,,,,,,,,,,,
Aeroquip,61405,4,Jackson,,USA,MI,Midwest,"$52,350,079",Very Small,"3,948","$44,146,277","7,660","$28,499,819","2,743",64.6%,,,,,"$13,260",2.64,$12.83,"$6,983",,,,,,,,,,,,,,,,,,,,,,,
First Street,20417,4,Deridder,,USA,LA,Southeast,"$52,320,068",Very Small,"3,255","$44,039,208","4,713","$30,033,003","1,737",68.2%,,,,,"$16,074",1.98,$36.38,"$11,484",,,,,,,,,,,,,,,,,,,,,,,
Telco,66319,4,Tarboro,,USA,NC,Southeast,"$52,318,815",Very Small,"6,369","$43,752,714","14,099","$37,223,604","3,063",85.1%,,,,,"$8,215",2.69,-$7.00,"$4,718",,,,,,,,,,,,,,,,,,,,,,,
Southeastern Ohio,96674,4,Cambridge,,USA,OH,Midwest,"$52,296,942",Very Small,"6,066","$45,168,386","9,941","$36,351,183","3,575",80.5%,,,,,"$8,621",2.23,$35.05,"$6,031",,,,,,,,,,,,,,,,,,,,,,,
3hill,68297,4,Blue Bell,,USA,PA,Mid-Atlantic,"$52,120,905",Very Small,"3,668","$49,292,490","5,946","$21,397,888",567,43.4%,,,,,"$14,210",1.78,-$16.35,"$10,854",,,,,,,,,,,,,,,,,,,,,,,
Glatco,63943,4,Spring Grove,,USA,PA,Mid-Atlantic,"$52,073,489",Very Small,"3,078","$45,149,036","5,696","$10,820,354",935,24.0%,,,,,"$16,918",2.15,$28.88,"$8,441",,,,,,,,,,,,,,,,,,,,,,,
Texas Plains,3828,4,Amarillo,,USA,TX,South Central,"$52,009,423",Very Small,"8,874","$43,508,553","15,493","$39,528,596","3,436",90.9%,,,,,"$5,861",2.13,$7.73,"$4,387",,,,,,,,,,,,,,,,,,,,,,,
Elliott Community,390,4,Jeannette,,USA,PA,Mid-Atlantic,"$51,975,710",Very Small,"7,014","$45,203,995","10,947","$28,215,882","2,254",62.4%,,,,,"$7,410",1.88,$10.05,"$5,562",,,,,,,,,,,,,,,,,,,,,,,
Star Financial,68300,4,Corpus Christi,,USA,TX,South Central,"$51,958,671",Very Small,"3,164","$43,628,674","5,351","$26,250,033","6,824",60.2%,,,,,"$16,422",3.85,$15.62,"$5,740",,,,,,,,,,,,,,,,,,,,,,,
Charlotte Fire Department,63566,4,Charlotte,,USA,NC,Southeast,"$51,957,489",Very Small,"2,974","$45,491,408","4,921","$21,860,919","1,497",48.1%,,,,,"$17,471",2.16,-$12.83,"$10,494",,,,,,,,,,,,,,,,,,,,,,,
Hopewell Chemical,16605,4,Hopewell,,USA,VA,Mid-Atlantic,"$51,955,525",Very Small,"3,270","$46,075,764","6,161","$22,938,705","2,115",49.8%,,,,Y,"$15,889",2.53,$14.91,"$8,339",,,,,,,,,,,,,,,,,,,,,,,
Wv National Guard,12938,4,Charleston,,USA,WV,Mid-Atlantic,"$51,819,259",Very Small,"1,937","$45,227,923","3,335","$26,142,740","1,100",57.8%,,,,,"$26,752",2.29,$82.42,"$16,093",,,,,,,,,,,,,,,,,,,,,,,
Pipefitters-steamfitters,63157,4,Woodbury,,USA,MN,Midwest,"$51,756,385",Very Small,"3,483","$45,773,439","5,517","$25,863,314","3,415",56.5%,,,,,"$14,860",2.56,$24.80,"$8,020",,,,,,,,,,,,,,,,,,,,,,,
Yuma County,6424,4,Yuma,,USA,CO,Western,"$51,540,053",Very Small,"2,385","$45,622,140","4,869","$21,537,837","1,157",47.2%,,,,Y,"$21,610",2.53,$55.67,"$11,145",,,,,,,,,,,,,,,,,,,,,,,
Brooklyn Cooperative FCU (Brooklyn Coop),24642,4,Brooklyn,,USA,NY,Mid-Atlantic,"$51,518,683",Very Small,"7,264","$40,795,864","10,880","$36,766,843","1,137",90.1%,Y,Y,Y,,"$7,092",1.65,$3.42,"$6,454",,,,,,,,,,Y,,,,,,,,,,,,,
MariSol FCU,9469,4,Phoenix,,USA,AZ,Western,"$51,517,395",Very Small,"6,525","$42,290,034","9,654","$27,557,697","2,742",65.2%,Y,Y,Y,,"$7,895",1.90,$5.13,"$5,635",,,,,,,,,,Y,,,,,,,,,,,,,
Resource,24575,4,Jackson,,USA,TN,Southeast,"$51,466,157",Very Small,"4,081","$46,538,723","7,933","$13,152,752","1,589",28.3%,,,,,"$12,611",2.33,$23.65,"$6,269",,,,,,,,,,,,,,,,,,,,,,,
Baptist,68358,4,San Antonio,,USA,TX,South Central,"$51,321,668",Very Small,"8,038","$46,909,208","14,266","$37,931,336","3,624",80.9%,,,,,"$6,385",2.23,$7.06,"$4,742",,,,,,,,,,,,,,,,,,,,,,,
Strip Steel Community,8418,4,Weirton,,USA,WV,Mid-Atlantic,"$51,235,597",Very Small,"3,535","$41,371,360","6,027","$24,462,406","1,513",59.1%,,,,,"$14,494",2.13,$35.08,"$8,731",,,,,,,,,,,,,,,,,,,,,,,
West Branch Valley,7821,4,Williamsport,,USA,PA,Mid-Atlantic,"$51,220,560",Very Small,"4,673","$47,718,565","8,803","$25,588,609","2,482",53.6%,,,,,"$10,961",2.41,$3.82,"$6,496",,,,,,,,,,,,,,,,,,,,,,,
Champion Community,63614,4,Courtland,,USA,AL,Southeast,"$51,188,814",Very Small,"3,243","$44,262,814","6,170","$26,076,914","2,659",58.9%,,,,,"$15,784",2.72,$7.73,"$7,967",,,,,,,,,,,,,,,,,,,,,,,
Blue Mountain CU,68280,4,Walla Walla,College Place,USA,WA,Cascadia,"$50,953,747",Very Small,"4,528","$44,500,388","6,427","$41,295,494","2,419",92.8%,,,,,"$11,253",1.95,$5.53,"$9,699",,,,,,,,,,,,,,Y,,,,,,,,,
Money,22566,4,Syracuse,,USA,NY,Mid-Atlantic,"$50,932,504",Very Small,"3,665","$46,694,255","7,585","$24,205,689","1,233",51.8%,,,,,"$13,897",2.41,-$9.75,"$8,040",,,,,,,,,,,,,,,,,,,,,,,
Professional Police Officers,82769,4,Indianapolis,,USA,IN,Midwest,"$50,904,066",Very Small,"3,289","$43,042,150","5,085","$26,818,161","1,595",62.3%,,,,,"$15,477",2.03,$27.12,"$10,458",,,,,,,,,,,,,,,,,,,,,,,
Altonized Community,3316,4,Alton,,USA,IL,Midwest,"$50,871,562",Very Small,"5,675","$48,000,174","9,569","$20,665,072","2,081",43.1%,,,,,"$8,964",2.05,$6.19,"$5,894",,,,,,,,,,,,,,,,,,,,,,,
Central Wisconsin,66513,4,Plover,,USA,WI,Midwest,"$50,809,817",Very Small,"3,737","$45,470,415","7,196","$29,760,476","1,065",65.5%,,,,,"$13,596",2.21,$44.17,"$9,107",,,,,,,,,,,,,,,,,,,,,,,
Gulf Coast,7520,4,Mobile,,USA,AL,Southeast,"$50,660,956",Very Small,"8,725","$40,624,018","9,971","$21,378,900","6,017",52.6%,,,,,"$5,806",1.83,-$23.95,"$3,878",,,,,,,,,,,,,,,,,,,,,,,
Moline Municipal,60186,4,Moline,,USA,IL,Midwest,"$50,564,891",Very Small,"2,815","$42,342,687","5,997","$39,360,259","2,357",93.0%,,,,Y,"$17,963",2.97,$59.13,"$9,780",,,,,,,,,,,,,,,,,,,,,,,
B&v,63598,4,Overland Park,,USA,KS,South Central,"$50,539,364",Very Small,"4,806","$42,578,979","5,826","$19,615,071","1,247",46.1%,,,,,"$10,516",1.47,-$37.54,"$8,793",,,,,,,,,,,,,,,,,,,,,,,
Post Office Employees',63069,4,Metairie,,USA,LA,Southeast,"$50,520,189",Very Small,"4,440","$44,092,402","7,383","$29,604,392","2,179",67.1%,,,,,"$11,378",2.15,$18.28,"$7,707",,,,,,,,,,,,,,,,,,,,,,,
Ocala Community,67938,4,Ocala,,USA,FL,Southeast,"$50,513,003",Very Small,"2,944","$45,396,434","6,418","$19,495,113","1,576",42.9%,,,,,"$17,158",2.72,-$28.28,"$8,118",,,,,,,,,,,,,,,,,,,,,,,
Electrical,8701,4,Arvada,,USA,CO,Western,"$50,499,534",Very Small,"4,085","$44,340,176","6,743","$24,381,194","1,948",55.0%,,,,,"$12,362",2.13,$18.80,"$7,907",,,,,,,,,,,,,,,,,,,,,,,
Highway District 21,4148,4,Mcallen,,USA,TX,South Central,"$50,373,570",Very Small,"3,540","$40,078,797","3,805","$23,716,575","1,201",59.2%,,,,,"$14,230",1.41,$57.50,"$12,744",,,,,,,,,,,,,,,,,,,,,,,
Monroe Telco,1725,4,Monroe,,USA,LA,Southeast,"$50,342,465",Very Small,"3,582","$43,764,768","7,345","$22,186,591","2,291",50.7%,,,,,"$14,054",2.69,$52.33,"$6,844",,,,,,,,,,,,,,,,,,,,,,,
W-bee,2657,4,Wilkes Barre,,USA,PA,Mid-Atlantic,"$50,339,595",Very Small,"1,696","$45,910,830","2,814","$6,752,407",308,14.7%,,,,,"$29,681",1.84,$5.53,"$16,868",,,,,,,,,,,,,,,,,,,,,,,
Census,5641,4,Suitland,,USA,MD,Mid-Atlantic,"$50,312,089",Very Small,"2,283","$42,795,728","3,893","$12,771,608",571,29.8%,,,,,"$22,038",1.96,-$14.74,"$12,448",,,,,,,,,,,,,,,,,,,,,,,
Country Heritage,62079,4,Buchanan,,USA,MI,Midwest,"$50,155,813",Very Small,"1,290","$39,880,787","2,728","$34,722,946",388,87.1%,,,,,"$38,880",2.42,$63.84,"$23,942",,,,,,,,,,,,,,,,,,,,,,,
Fedtrust,13233,4,Memphis,,USA,TN,Southeast,"$50,073,732",Very Small,"3,075","$45,898,746","6,449","$40,615,833","1,965",88.5%,,,,Y,"$16,284",2.74,$13.69,"$10,282",,,,,,,,,,,,,,,,,,,,,,,
Jack Daniel Employees,67197,4,Lynchburg,,USA,TN,Southeast,"$50,073,403",Very Small,"2,985","$44,790,885","5,798","$34,860,435","2,694",77.8%,,,,Y,"$16,775",2.84,$43.72,"$9,380",,,,,,,,,,,,,,,,,,,,,,,
Muna,15108,4,Meridian,,USA,MS,Southeast,"$50,048,170",Very Small,"6,184","$42,841,692","12,019","$33,667,915","3,290",78.6%,,,,,"$8,093",2.48,$10.50,"$4,998",,,,,,,,,,,,,,,,,,,,,,,
Southeast Michigan State Employees,7628,3,Southfield,,USA,MI,Midwest,"$49,994,648",Very Small,"3,560","$45,681,754","6,488","$10,282,586","2,141",22.5%,,,,,"$14,043",2.42,$28.19,"$6,486",,,,,,,,,,,,,,,,,,,,,,,
Galesburg Burlington,65712,3,Galesburg,,USA,IL,Midwest,"$49,985,539",Very Small,"3,342","$35,272,804","3,824","$28,167,675","78,326",79.9%,,,,,"$14,957",24.58,$42.23,$772,,,,,,,,,,,,,,,,,,,,,,,
Methodist Healthcare,13456,3,Cordova,,USA,TN,Southeast,"$49,824,618",Very Small,"6,220","$41,579,335","11,084","$9,727,416","4,247",23.4%,,,,,"$8,010",2.46,$7.05,"$3,347",,,,,,,,,,,,,,,,,,,,,,,
Fresno Police Department,97096,3,Fresno,,USA,CA,Western,"$49,819,214",Very Small,"2,611","$38,641,619","4,331","$13,142,363","1,368",34.0%,,,,,"$19,081",2.18,$8.25,"$9,087",,,,,,,,,,,,,,,,,,,,,,,
Somerville Municipal,4524,3,Somerville,,USA,MA,New England,"$49,818,177",Very Small,"2,189","$41,528,006","4,457","$26,599,157","1,495",64.1%,,,,Y,"$22,758",2.72,$83.17,"$11,446",,,,,,,,,,,,,,,,,,,,,,,
Kauai Teachers,2577,3,Lihue,,USA,HI,Western,"$49,738,291",Very Small,"3,595","$44,349,883","5,880","$28,217,438","1,562",63.6%,,,,,"$13,835",2.07,$28.10,"$9,751",,,,,,,,,,,,,,,,,,,,,,,
Hastings,5291,3,Hastings,,USA,NE,Midwest,"$49,702,973",Very Small,"6,200","$41,770,243","8,508","$33,238,367","2,399",79.6%,,,,,"$8,017",1.76,$44.70,"$6,877",,,,,,,,,,,,,,,,,,,,,,,
Bar-cons,17040,3,Columbus,,USA,IN,Midwest,"$49,659,341",Very Small,"4,327","$42,153,546","8,558","$36,558,945","3,225",86.7%,,,,,"$11,477",2.72,$58.88,"$6,680",,,,,,,,,,,,,,,,,,,,,,,
Vantage Trust,5867,3,Wilkes Barre,,USA,PA,Mid-Atlantic,"$49,453,862",Very Small,"5,502","$46,510,283","5,751","$19,196,695","3,163",41.3%,,,,,"$8,988",1.62,$1.59,"$7,371",,,,,,,,,,,,,,,,,,,,,,,
Waialua,2049,3,Waialua,,USA,HI,Western,"$49,423,348",Very Small,"3,026","$40,734,325","3,838","$17,845,117",526,43.8%,,,,,"$16,333",1.44,$7.14,"$13,423",,,,,,,,,,,,,,,,,,,,,,,
5 Star Community,64878,3,Mount Pleasant,,USA,IA,Midwest,"$49,315,741",Very Small,"6,329","$43,551,985","9,398","$38,060,591","1,892",87.4%,,,,,"$7,792",1.78,$13.14,"$7,229",,,,,,,,,,,,,,,,,,,,,,,
White River,64421,3,Rochester,,USA,VT,New England,"$49,309,981",Very Small,"4,064","$43,889,246","8,365","$30,567,700","2,001",69.6%,,,,,"$12,133",2.55,$59.46,"$7,183",,,,,,,,,,,,,,,,,,,,,,,
Central Communications,64196,3,Independence,,USA,MO,South Central,"$49,245,910",Very Small,"4,133","$47,442,293","6,967","$16,187,174","40,764",34.1%,,,,,"$11,915",11.55,-$36.69,"$1,333",,,,,,,,,,,,,,,,,,,,,,,
Westminster,13842,3,Westminster,,USA,CO,Western,"$49,240,968",Very Small,"3,365","$43,660,235","5,965","$27,529,868","1,096",63.1%,,,,,"$14,633",2.10,$26.45,"$10,082",,,,,,,,,,,,,,,,,,,,,,,
Indianapolis Post Office,82770,3,Indianapolis,,USA,IN,Midwest,"$49,161,150",Very Small,"3,206","$35,997,403","4,422","$11,185,604",777,31.1%,,,,,"$15,334",1.62,-$13.82,"$9,075",,,,,,,,,,,,,,,,,,,,,,,
